labela	recenica
info	Draga gđo. Vera, ovaj čas sam primio vaše pismo od 23 o. m. i ne mogu da se načudim da niste primili ni knjigu koju Vam je poslala ovdašnja knjižara Fueri, preporučeno, ni moje pismo koje sam nekoliko dana docnije pisao.
info	Knjiga je poslana 14 o. m. a moje pismo 17 ili 18 o. m. 
info	Očekujem vaše vesti i nadam se da ćete bar knjigu primiti.
info	Kako vidite, ja sam opet u žalosti.
info	Moja tetka u Višegradu umrla je naglo pre četiri dana.
info	Nisam mogao ni na saranu otići.
emo	I da je nisam toliko volio, koliko sam, bilo bi mi teško  već stoga što je to poslednji član naše porodice.
info	Upravo, poslednji sam ja.
info	Kao što sam Vam u pismu od 17. javio, ja sam, vrativši se iz Pariza, prebolio i grip i anginu.
info	Angina je prošla ali mi je grip još uvek u kostima.
info	Možda ću već u maju mesecu ići u Višegrad da sredim kuću i ono malo imanja koje je sada bez gđospodara.
info	Verovatno ćemo se tada videti u Beogradu.
emo	Vidite, draga gđo Vera, da Vas nisam nipošto zaboravio i da nisam lenj na pisanju nego da je kriva i pošta i moje nedaće.
info	Javite mi se.
info	Pozdravite gđu. mamu, Olju i Branu.
info	Srdačno vaš Ivo Andrić 
info	P.S. Knjiga koju sam Vam poslao bio je muzički rečnik, mislio sam da će Vam biti koristan i prijatan ; urgiraću na pošti.
emo	Draga gđo. Vera na moja tri pisma nemam od Vas odgovora, i ako se Vi u svakom vašem pismu žalite da Vam ne pišem.
info	Ni do danas ne znam da li ste primili knjigu koju sam Vam poslao, preporučeno, još u prvim danima januara.
emo	Nadam se da niste bolesni a ne verujem da ne možete naći deset minuta slobodna vremena za stare prijatelje.
info	Javite se, molim Vas, i pozdravite sve, Vas srdačno pozdravlja Ivo Andrić 
info	Draga gđo. Vera, primio sam vaše pismo iz kog vidim da ste, ako i sa zadocnjenjem, ipak sve primili u redu, i pisma i knjigu, i da ste živo i zdravo.
info	A ja sam vam neki dan pisao i pitao vas šta je s vama.
emo	Bio sam nestrpljiv i brz, jer sam sutradan već primio vaše pismo koje je sve objasnilo.
info	Čuvam se koliko mogu ali se nekako sporo oporavljam.
info	Ovde već  na raskršćima po skverovima kopaju i sade cveće.
info	To ima da znači proleće, i da će, možda, bolje biti za sve.
emo	Milo mi je da se bližite vremenu kad ćete ući u vaš novi stan.
info	Imate pravo.
info	Pomučite se, ali se uredite lepo.
info	Svagde je potrebno imati svoje chez soi, a u Beogradu naročito.
info	A ja ću biti slobodan da i dalje s vremena na vreme uvećam vašu biblioteku kakvom knjigom koja mi zapne za oko i podseti me na vas.
emo	Sirota Olja ;ja sam mislio da  je ona već negde u Americi kao Miss Yougoslavia na nekom filmu.
info	Idete li na balove ?
info	Sigurno ste slušali Rubinštajna.
info	Ovde je bio jedan mlad Španac, Iturbi se zove, i svira neobično dobro.
info	Za koji dan dolazi Korto.
info	To su mi jedine razonode.
emo	Inače, od vremena rata nisam bio ovoliko sam kao u ovoj trgđovačkoj varoši koja je nečista a nije pitoreskna.
info	Javite mi se opet.
info	Pozdravite gđu. mamu i Olju i Branu, Vaš Ivo Andrić
info	Draga gđo. Vera, odavno vam se nisam javio i ako sam često mislio na vas.
info	Nemam ništa ni novo ni mnogo dobro da vam javim.
emo	Kolebam sa zdravljem, a ova proletnja vremena sa vjetrovima i košavama utiču rđavo na živce, naročito kod ljudi koji ni inače nisu posve kako treba.
info	Prilično sam zauzet u Konsulatu a sve slobodno vreme provodim u čitanju.
info	Pokatkad  mi se čini kao da sam se pomladio i kao da ponovo studiram na univerzitetu.
info	Nisam čak išao ni na karneval u Nicu.
info	Vidim dosta cirkusa i ovde.
info	Prvom prilikom čitaću vam svoje utiske i mišljenja iz Francuske.
info	Oni će biti malo drukčiji nego impresije našeg dragog Duke.
emo	Često, često pomislim na vas i na lanjsko ljeto.
emo	Sad kad mi dođe red da se vratim u Beograd, u Ministarstvo, biće mi mnogo lakše vratiti se, jer poznajem bolje i svijet, i jer se nadam zateći vas u vašem novom stanu, sa vašom sobom, sa bibliotekom, u kojoj će moći da se prijatno i razgovara i ćuti.
info	Javite  mi se i pišite šta ima novo u Beogradu.
info	Kada se selite ?
emo	Kako su vaši ? Pozdravite Olju i Branu ; ja se njih uvek sećam ali oni se meni ne javljaju.
info	Srdačno vaš Ivo Andrić 
info	P.S. Molim vas upitajte u Putniku pošto je karta 1. kl. brzog voza (ne semplona !), bez vagonli, Beograd - Ventimilja.
ingo	Pa mi javite.
info	Da niste i vi u gripu ?
info	Čuvajte zdravlje.
